t hx hy rawx rawy govx govy vehx vehy draw dgov dveh elag clear
6.44 -1.1426223 0 0.053590628 0.09526055 -1.353929 1.3956047 -1.3567383 1.3685804 1.2043673 1.4151748 1.3901168 1.9001493 0.82312522
6.48 -1.1127809 0 0.084429827 0.081771421 -1.2746409 1.387373 -1.2820134 1.3566436 1.2043673 1.4004866 1.3720622 1.8688623 0.79960508
6.52 -1.0817031 0 0.11622758 0.070442198 -1.1933417 1.3766992 -1.2052903 1.3423854 1.2043673 1.3849701 1.3529809 1.8342335 0.7715272
6.56 -1.0494235 0 0.14902929 0.060916525 -1.1101145 1.3640402 -1.1265602 1.3261542 1.2043673 1.3691991 1.3333306 1.796692 0.74071586
6.6 -1.0159781 0 0.18285553 0.052896063 -1.0250099 1.3496869 -1.0458154 1.3084585 1.2043673 1.3535946 1.3137541 1.756759 0.71058466
6.64 -0.98140384 0 0.2177091 0.046131974 -0.9380629 1.3337967 -0.96302379 1.2898451 1.2043673 1.3384572 1.2949561 1.7149557 0.68375562
6.68 -0.94573926 0 0.2535799 0.040417235 -0.84930595 1.3164202 -0.87812603 1.2707748 1.2043673 1.323994 1.2775808 1.6717205 0.66132587
6.72 -0.90902396 0 0.29044846 0.035579898 -0.75877925 1.2975231 -0.79105177 1.2515378 1.2043673 1.3103398 1.2621265 1.62736 0.64338625
6.76 -0.87129872 0 0.32828836 0.031477284 -0.66653948 1.277005 -0.70174304 1.2322188 1.2043673 1.2975741 1.2489069 1.5820384 0.62974239
6.8 -0.83260547 0 0.36706803 0.027991053 -0.57266678 1.2547152 -0.61017881 1.2127074 1.2043673 1.2857348 1.2380552 1.5357943 0.62024696
6.84 -0.79298718 0 0.40675189 0.025023049 -0.4772709 1.2304668 -0.51639156 1.1927355 1.2043673 1.2748287 1.2295526 1.4885726 0.61476727
6.88 -0.75248788 0 0.44730132 0.022491838 -0.38090172 1.2041719 -0.42048989 1.1719308 1.2043673 1.264837 1.2232784 1.4402715 0.61311353
